STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
         44;202408120020;    3;  -999;  -999;   0.000;-999;eor
         44;202408120030;    3;  -999;  -999;   0.000;-999;eor
         44;202408120040;    3;  -999;  -999;   0.000;-999;eor
         44;202408120050;    3;  -999;  -999;   0.000;-999;eor
         44;202408120100;    3;  -999;  -999;   0.000;-999;eor
         44;202408120110;    3;  -999;  -999;   0.000;-999;eor
         44;202408120120;    3;  -999;  -999;   0.000;-999;eor
         44;202408120130;    3;  -999;  -999;   0.000;-999;eor
         44;202408120140;    3;  -999;  -999;   0.000;-999;eor
         44;202408120150;    3;  -999;  -999;   0.000;-999;eor
         44;202408120200;    3;  -999;  -999;   0.000;-999;eor
         44;202408120210;    3;  -999;  -999;   0.000;-999;eor
         44;202408120220;    3;  -999;  -999;   0.000;-999;eor
         44;202408120230;    3;  -999;  -999;   0.000;-999;eor
         44;202408120240;    3;  -999;  -999;   0.000;-999;eor
         44;202408120250;    3;  -999;  -999;   0.000;-999;eor
         44;202408120300;    3;  -999;  -999;   0.000;-999;eor
         44;202408120310;    3;  -999;  -999;   0.000;-999;eor
         44;202408120320;    3;  -999;  -999;   0.000;-999;eor
         44;202408120330;    3;  -999;  -999;   0.000;-999;eor
         44;202408120340;    3;  -999;  -999;   0.000;-999;eor
         44;202408120350;    3;  -999;  -999;   0.000;-999;eor
         44;202408120400;    3;  -999;  -999;   0.000;-999;eor
         44;202408120410;    3;  -999;  -999;   0.000;-999;eor
         44;202408120420;    3;  -999;  -999;   0.000;-999;eor
         44;202408120430;    3;  -999;  -999;   0.000;-999;eor
         44;202408120440;    3;  -999;  -999;   0.000;-999;eor
         44;202408120450;    3;  -999;  -999;   0.150;-999;eor
         44;202408120500;    3;  -999;  -999;   0.167;-999;eor
         44;202408120510;    3;  -999;  -999;   0.167;-999;eor
         44;202408120520;    3;  -999;  -999;   0.167;-999;eor
         44;202408120530;    3;  -999;  -999;   0.167;-999;eor
         44;202408120540;    3;  -999;  -999;   0.167;-999;eor
         44;202408120550;    3;  -999;  -999;   0.167;-999;eor
         44;202408120600;    3;  -999;  -999;   0.167;-999;eor
         44;202408120610;    3;  -999;  -999;   0.167;-999;eor
         44;202408120620;    3;  -999;  -999;   0.167;-999;eor
         44;202408120630;    3;  -999;  -999;   0.167;-999;eor
         44;202408120640;    3;  -999;  -999;   0.167;-999;eor
         44;202408120650;    3;  -999;  -999;   0.167;-999;eor
         44;202408120700;    3;  -999;  -999;   0.167;-999;eor
         44;202408120710;    3;  -999;  -999;   0.167;-999;eor
         44;202408120720;    3;  -999;  -999;   0.167;-999;eor
         44;202408120730;    3;  -999;  -999;   0.167;-999;eor
         44;202408120740;    3;  -999;  -999;   0.167;-999;eor
         44;202408120750;    3;  -999;  -999;   0.167;-999;eor
         44;202408120800;    3;  -999;  -999;   0.167;-999;eor
         44;202408120810;    3;  -999;  -999;   0.167;-999;eor
         44;202408120820;    3;  -999;  -999;   0.167;-999;eor
         44;202408120830;    3;  -999;  -999;   0.167;-999;eor
         44;202408120840;    3;  -999;  -999;   0.167;-999;eor
         44;202408120850;    3;  -999;  -999;   0.167;-999;eor
         44;202408120900;    3;  -999;  -999;   0.167;-999;eor
         44;202408120910;    3;  -999;  -999;   0.167;-999;eor
         44;202408120920;    3;  -999;  -999;   0.167;-999;eor
         44;202408120930;    3;  -999;  -999;   0.167;-999;eor
         44;202408120940;    3;  -999;  -999;   0.167;-999;eor
         44;202408120950;    3;  -999;  -999;   0.167;-999;eor
         44;202408121000;    3;  -999;  -999;   0.167;-999;eor
         44;202408121010;    3;  -999;  -999;   0.167;-999;eor
         44;202408121020;    3;  -999;  -999;   0.167;-999;eor
         44;202408121030;    3;  -999;  -999;   0.167;-999;eor
         44;202408121040;    3;  -999;  -999;   0.167;-999;eor
         44;202408121050;    3;  -999;  -999;   0.167;-999;eor
         44;202408121100;    3;  -999;  -999;   0.167;-999;eor
         44;202408121110;    3;  -999;  -999;   0.167;-999;eor
         44;202408121120;    3;  -999;  -999;   0.167;-999;eor
